id,"ctime","turbo_id","pair","direction","contract","return","strategy",timeleft
24216,"2017-06-23 06:59:09","Rq9mjcNbwNzsXgpZb","AUD-USD","long","1min","67000","atr:bearish:stochs",36
24217,"2017-06-23 06:59:10","YMa22Gy6sDBReugcd","AUD-USD","long","1min","67000","atr:bearish:mfi:stochs",36
24218,"2017-06-23 06:59:12","hRCGN6QmJFxF4qig3","AUD-USD","long","1min","67000","bearish:cci",36
24219,"2017-06-23 06:59:13","TuX7Qocdzvs7TEu45","AUD-USD","long","1min","67000","bearish:cci:stochs",36
24220,"2017-06-23 06:59:14","qDmkxiR9qQYYf5ZKK","AUD-USD","long","1min","67000","bearish:cci:mfi:stochs",36
24221,"2017-06-23 06:59:30","mhK4xczsNEo2HrJHq","AUD-USD","long","1min","67000","cci:mfi",36
24222,"2017-06-23 06:59:32","PoRDeDtBj54hr944W","AUD-USD","long","1min","67000","mfi:stochs",36
24223,"2017-06-23 07:00:33","7YetcvdYMBfBhKu7B","USD-JPY","long","1min","-100000","ao:macd",29
24224,"2017-06-23 07:00:34","pATkTxFFqF4d8e2TA","USD-JPY","long","1min","-100000","ao:macd:mfi",29
24225,"2017-06-23 07:00:36","r8PzjQnAA5QFTF3kB","USD-JPY","long","1min","-100000","ao:mfi",29
24226,"2017-06-23 07:00:37","saktrRWLCh9uF2zAr","USD-CNH","long","1min","-100000","cci:mfi",29
24227,"2017-06-23 07:00:39","fMGRzHkTFGeJx3nXq","USD-MXN","long","1min","-100000","cci:mfi",29
24228,"2017-06-23 07:00:40","e3nBaoj8vEn8bbfnN","USD-MXN","short","1min","55000","atr:fsar",29
24229,"2017-06-23 07:00:55","jQyiKYDCDYFGrP84b","USD-CAD","long","1min","75000","bearish:cmo:rsi:stochs",6
24230,"2017-06-23 07:00:57","wSFFbNAJ8APcFESHk","USD-CAD","long","1min","-100000","bearish:cmo:stochs",6
24231,"2017-06-23 07:00:58","RqfrtEGbdqSEmwjKY","USD-CAD","long","1min","-100000","bearish:cmo:mfi:stochs",6
24232,"2017-06-23 07:00:59","H3fLYufofH5mb7sQu","USD-CAD","long","1min","75000","bearish:cci:cmo:stochs",6
24233,"2017-06-23 07:01:01","DJxX7a2pwieFBY2kP","USD-CAD","long","1min","75000","atr:bearish:cmo:stochs",6
24234,"2017-06-23 07:01:02","M3uGtP8rwsZawEQtE","USD-CAD","long","1min","75000","bearish:cmo:rsi",6
24235,"2017-06-23 07:01:04","tPa5NvMeZiH9v93jC","USD-CAD","long","1min","75000","bearish:cmo:mfi:rsi",6
24236,"2017-06-23 07:01:05","t4qWPwsetgMGGDZ6m","USD-CAD","long","1min","75000","bearish:cci:cmo:rsi",6
24237,"2017-06-23 07:01:06","pWvffQQ6Rww3ohTu8","USD-CAD","long","1min","75000","atr:bearish:cmo:rsi",6
24238,"2017-06-23 07:01:08","2WkBykQcCAg3merDt","USD-CAD","long","1min","75000","bearish:cmo",6
24239,"2017-06-23 07:01:09","4uhHFGNcjPtRKuRJN","USD-CAD","long","1min","75000","bearish:cmo:mfi",6
24240,"2017-06-23 07:01:11","2D7dhQ2urxnSBzeg6","USD-CAD","long","1min","75000","bearish:cci:cmo:mfi",6
24241,"2017-06-23 07:01:12","CXy9DitvZQLou3mYQ","USD-CAD","long","1min","75000","atr:bearish:cmo:mfi",6
24242,"2017-06-23 07:01:13","TqeL75y74BPhzegMf","USD-CAD","long","1min","75000","bearish:cci:cmo",6
24243,"2017-06-23 07:01:15","NRC3H5Qmzyu2kRivM","USD-CAD","long","1min","75000","atr:bearish:cci:cmo",6
24244,"2017-06-23 07:01:16","P5SZ8MmtseY9LTFX5","USD-CAD","long","1min","75000","atr:bearish:cmo",6
24245,"2017-06-23 07:01:18","4RdTe6svBgSDufjce","USD-CAD","long","1min","75000","cmo:rsi:stochs",6
24246,"2017-06-23 07:01:19","ZdHpbEe9Hv8aK2dhD","USD-CAD","long","1min","75000","cmo:mfi:rsi:stochs",6
24247,"2017-06-23 07:01:20","ziHnyjrzzf6ZcoMgw","USD-CAD","long","1min","-100000","cci:cmo:rsi:stochs",6
24248,"2017-06-23 07:01:22","KsCoTXPdWnoJZfSRv","USD-CAD","long","1min","-100000","atr:cmo:rsi:stochs",6
24249,"2017-06-23 07:01:23","qPuKeuazvb4Mooan5","USD-CAD","long","1min","-100000","cmo:stochs",6
24250,"2017-06-23 07:01:24","MAcLRnPjXYQX6TJcB","USD-CAD","long","1min","-100000","cmo:mfi:stochs",6
